ano;Total_Escolas;Total_Alunos;Total_Escolas_Sem_Comida;Total_Escolas_Sem_Agua;Total_Escolas_Sem_Energia;Total_Escolas_Sem_Esgoto;Total_Escolas_Sem_Lab_Info;Total_Escolas_Sem_Lab_Cien;Total_Alunos_Sem_Comida;Total_Alunos_Sem_Agua;Total_Alunos_Sem_Energia;Total_Alunos_Sem_Esgoto;Total_Alunos_Sem_Lab_Info;Total_Alunos_Sem_Lab_Cien
2008;250350;54284144;25510;947;17795;13419;197742;232348;7253069;98360;606656;706531;22480100;40693773
2009;255445;54434636;28991;881;15367;12113;196116;237087;7893830;78586;519191;551865;19571038;40614873
2010;259831;54131255;25499;973;13143;11478;190419;240803;6296361;78385;430905;511048;16426559;40030745
2011;257880;54436318;26129;8194;11471;11505;178303;237820;6673410;531893;380074;515170;13996174;39847319
2012;262601;54757106;26787;8172;10185;11054;176878;242008;6950434;564752;328039;490328;12657942;39862010
2013;268166;55424331;27859;8826;8211;10727;182216;247399;7268315;680645;253031;539450;13169197;40593845
2014;272440;56064675;28554;9374;7482;10127;187082;251334;7756188;771563;243467;542457;14142918;41361366
2015;272996;54851222;26631;8159;6263;9483;104803;167374;7411493;681591;194204;549655;14558972;40567647
2016;279358;52356383;27949;6882;5638;8829;108300;166102;7520419;481295;170351;462977;15618353;38320548
2017;282362;53900669;28159;5847;4980;8449;111832;166214;7657334;457431;174625;507945;18352016;41402974
2018;286014;51829413;29244;5019;4259;7712;114478;164340;7773155;392072;144374;486211;19562566;39972752
